Administrative_Region,avg_income,avg_expenditure
Riyadh,14990,13000
Northern Border,12868,11310
Eastern Province,11775,11509
AL - Baha,11348,11346
Asir,11264,9701
Tabuk,11127,9722
Jazan,10763,13353
AL - Jouf,10686,9872
Makkah,10141,9146
Qassim,10081,9983
Madinah,9723,9317
Hail,9269,8600
Najran,7969,8159
